Date,Ticker,Signal,Daily_Return,Portfolio_Value_Before,Portfolio_Value_After
2015-02-19,ICICIBANK.NS,0.5789457483724473,-0.022448591551711083,100000.0,97755.14084482889
2015-02-20,ICICIBANK.NS,0.5789457483724473,-0.00589230526836193,97755.14084482889,97179.13771341943
2015-02-23,HDFCBANK.NS,0.5253162650906773,0.00014059929717813446,97179.13771341943,97192.80103188232
2015-02-24,HDFCBANK.NS,0.5253162650906773,-0.01423674790106344,97192.80103188232,95809.0916257932
2015-02-25,ICICIBANK.NS,0.5318555893944915,-0.0037209989978247426,95809.0916257932,95452.58609187113
2015-02-26,HDFCBANK.NS,0.5253162650906773,0.015267487326834805,95452.58609187113,96909.90724034238
2015-02-27,HDFCBANK.NS,0.5253162650906773,0.027087347612120283,96909.90724034238,99534.93958481986
2015-03-02,RELIANCE.NS,0.5789457483724473,0.04229100397918595,99534.93958481986,103744.37211086952
2015-03-03,INFY.NS,0.5533323982652941,-0.010096841221152508,103744.37211086952,102696.88165807791
2015-03-04,RELIANCE.NS,0.5789457483724473,-0.0032662565880493544,102696.88165807791,102361.44729179009
2015-03-05,RELIANCE.NS,0.5789457483724473,-0.01728913202735405,102361.44729179009,100591.70671505129
2015-03-09,ICICIBANK.NS,0.5657882066478712,0.002554211297582043,100591.70671505129,100848.63918878594
2015-03-10,HDFCBANK.NS,0.5533323982652941,0.0037051007422279625,100848.63918878594,101222.29355669698
2015-03-11,TCS.NS,0.5566027490534012,0.004795658893009813,101222.29355669698,101707.72114896301
2015-03-12,ICICIBANK.NS,0.5657882066478712,-0.02365450948822989,101707.72114896301,99301.87489401863
2015-03-13,ICICIBANK.NS,0.5657882066478712,0.003785439109068589,99301.87489401863,99677.77609484628
2015-03-16,HDFCBANK.NS,0.5533323982652941,0.006181462574807561,99677.77609484628,100293.93053731663
2015-03-17,HDFCBANK.NS,0.5533323982652941,0.005198185010420575,100293.93053731663,100815.27694367187
2015-03-18,ICICIBANK.NS,0.5657882066478712,-0.013739778105596567,100815.27694367187,99430.09740881155
2015-03-19,ICICIBANK.NS,0.6249971491410896,-0.035130285941478934,99430.09740881155,95937.0896556509
2015-03-20,RELIANCE.NS,0.5657882066478712,-0.01422566412155346,95937.0896556509,94572.32084141024
